alpha,beta,SumErr
13.0204081633,4.0,1.99926804494
13.0204081633,5.0,1.99584715202
13.0204081633,6.0,1.98483727216
13.0204081633,7.0,1.95842014957
13.0204081633,8.0,1.90643741551
13.0204081633,9.0,1.81751403586
13.0204081633,10.0,1.68021010754
13.0204081633,11.0,1.48393852784
13.0204081633,12.0,1.21956704864
13.0204081633,13.0,0.879728895054
13.0204081633,14.0,0.458908346346
13.0204081633,15.0,0.101052738335
13.0204081633,16.0,0.638985383583
13.0204081633,17.0,1.31885830076
13.0204081633,18.0,2.08574053841
13.0204081633,19.0,2.93814724029
13.0204081633,20.0,3.87381397285
13.4081632653,1.0,2.0
13.4081632653,2.0,1.99999927115
13.4081632653,3.0,1.99995901105
13.4081632653,4.0,1.99947792264
13.4081632653,5.0,1.9968981893
13.4081632653,6.0,1.98828148918
13.4081632653,7.0,1.96700504635
13.4081632653,8.0,1.92417215715
13.4081632653,9.0,1.8495274675
13.4081632653,10.0,1.73248020052
13.4081632653,11.0,1.56297420369
13.4081632653,12.0,1.33210040181
13.4081632653,13.0,1.03245032481
13.4081632653,14.0,0.658257555203
13.4081632653,15.0,0.205386619199
13.4081632653,16.0,0.328776173858
13.4081632653,17.0,0.945486897229
13.4081632653,18.0,1.64483223149
13.4081632653,19.0,2.4259211326
13.4081632653,20.0,3.28706724778
13.7959183673,1.0,2.0
13.7959183673,2.0,1.99999956215
13.7959183673,3.0,1.99997262497
13.7959183673,4.0,1.99962741777
13.7959183673,5.0,1.99768199745
13.7959183673,6.0,1.99093871038
13.7959183673,7.0,1.9738044038
13.7959183673,8.0,1.93851552315
13.7959183673,9.0,1.87586626733
13.7959183673,10.0,1.77610373938
13.7959183673,11.0,1.62973928411
13.7959183673,12.0,1.42815648666
13.7959183673,13.0,1.16399359028
13.7959183673,14.0,0.831329584303
13.7959183673,15.0,0.425721552418
13.7959183673,16.0,0.101508582152
13.7959183673,17.0,0.615151840957
13.7959183673,18.0,1.25276353767
13.7959183673,19.0,1.96833575965
13.7959183673,20.0,2.76070903368
14.1836734694,1.0,2.0
14.1836734694,2.0,1.99999973681
